IdCategoría,IdProducto,NombreProducto,Stock,PrecioUnidad,Medida,Contador,LongHoja,DenominaciónCompleta
TAN,287 1,ITALIANA 2CM PATINA HUESO,0,130.4775,L,272.0,0,TAN 287 1 ITALIANA 2CM PATINA HUESO L
TAN,287 2,ITALIANA 2CM PATINA ROSA,0,130.4775,L,273.0,0,TAN 287 2 ITALIANA 2CM PATINA ROSA L
TAN,287 4,ITALIANA 2CM PATINA AZUL,"35,27000046",130.4775,L,275.0,0,TAN 287 4 ITALIANA 2CM PATINA AZUL L
TAN,287 5,ITALIANA 2CM PATINA CELESTE,0,130.4775,L,276.0,0,TAN 287 5 ITALIANA 2CM PATINA CELESTE L
TAN,287 6,ITALIANA 2CM PATINA VERDE  ORO,0,130.4775,L,277.0,0,TAN 287 6 ITALIANA 2CM PATINA VERDE  ORO L
TAN,287 7,ITALIANA 2CM PATINA OBISPO,"34,07999802",130.4775,L,278.0,0,TAN 287 7 ITALIANA 2CM PATINA OBISPO L
TAN,547 2,ITALIANA 3CM PATINA ROSA,0,176.3188,L,280.0,0,TAN 547 2 ITALIANA 3CM PATINA ROSA L
TAN,547 3,ITALIANA 3CM PATINA VERDE,"3,039999962",176.3188,L,281.0,0,TAN 547 3 ITALIANA 3CM PATINA VERDE L
TAN,547 4,ITALIANA 3CM PATINA AZUL,"24,44999886",176.3188,L,282.0,0,TAN 547 4 ITALIANA 3CM PATINA AZUL L
TAN,547 5,ITALIANA 3CM PATINA CELESTE,"-5,690000057",176.3188,L,283.0,0,TAN 547 5 ITALIANA 3CM PATINA CELESTE L
TAN,547 6,ITALIANA 3CM PATINA VERDE ORO,"4,069999218",176.3188,L,284.0,0,TAN 547 6 ITALIANA 3CM PATINA VERDE ORO L
TAN,547 7,ITALIANA 3CM PATINA OBISPO,"13,81000042",176.3188,L,285.0,0,TAN 547 7 ITALIANA 3CM PATINA OBISPO L
TAN,548 4,"ITALIANA 4,5CM PATINA AZUL","-0,100000039",229.2095,L,286.0,0,"TAN 548 4 ITALIANA 4,5CM PATINA AZUL L"
TAN,548 6,"ITALIANA 4,5CM PATINA VERDE ORO","6,220000267",229.2095,L,288.0,0,"TAN 548 6 ITALIANA 4,5CM PATINA VERDE ORO L"
